system   I             system.c:245  al_install_system                [   0.00088] Allegro version: 5.1.12 (WIP)
audio-dsound D           dsound.cpp:258  _dsound_open                     [   0.03444] Loading DirectSound module
system   D            wsystem.c:674  maybe_parent_dir                 [   0.03473] Also searching C:\Users\Rica.PENGIN\Documents\Visual Studio 2015\Projects\Retriever\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.03540] PathFindOnPath found: C:\WINDOWS\system32\dsound.dll
system   D            wsystem.c:635  load_library_at_path             [   0.03544] Calling LoadLibrary C:\WINDOWS\system32\dsound.dll
system   I            wsystem.c:638  load_library_at_path             [   0.04069] Loaded C:\WINDOWS\system32\dsound.dll
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.04079] Starting DirectSound...
audio-dsound D           dsound.cpp:285  _dsound_open                     [   0.13189] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   0.13628] Using DirectSound driver
audio-dsound D           dsound.cpp:320  _dsound_allocate_voice           [   0.13696] Allocating voice
audio-dsound D           dsound.cpp:379  _dsound_allocate_voice           [   0.13702] Allocated voice
dtor     D               dtor.c:184  _al_register_destructor          [   0.13707] added dtor for object 00902DF8, func 0FF02563
dtor     D               dtor.c:184  _al_register_destructor          [   0.13713] added dtor for object 009296D8, func 0FF02A31
audio-dsound D           dsound.cpp:476  _dsound_start_voice              [   0.13720] Starting voice
audio-dsound D           dsound.cpp:504  _dsound_start_voice              [   0.13724] CreateSoundBuffer
audio-dsound D           dsound.cpp:513  _dsound_start_voice              [   0.14092] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:519  _dsound_start_voice              [   0.15604] Starting _dsound_update thread
audio-dsound I           dsound.cpp:529  _dsound_start_voice              [   0.16160] Voice started
dtor     D               dtor.c:184  _al_register_destructor          [   0.16174] added dtor for object 00939090, func 0FF04AC5
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.16182] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.16187] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.16190] 
